K00001	Adh; Alcohol dehydrogenase (EC:1.1.1.1 1.2.1.10); K00001 alcohol dehydrogenase [EC:1.1.1.1] (A)
K10631	TOPORS, LUN, P53BP3, RP31, TP53BPL; topoisomerase I binding, arginine/serine-rich, E3 ubiquitin protein ligase; K10631 E3 ubiquitin-protein ligase Topors [EC:6.3.2.19] (A)
K10632	BRAP, BRAP2, IMP, RNF52; BRCA1 associated protein; K10632 BRCA1-associated protein [EC:6.3.2.19] (A)
K10633	PJA1, PRAJA1, RNF70; praja ring finger 1, E3 ubiquitin protein ligase; K10633 E3 ubiquitin-protein ligase Praja1 [EC:6.3.2.19] (A)
K10634	PJA2, Neurodap1, RNF131; praja ring finger 2, E3 ubiquitin protein ligase (EC:6.3.2.-); K10634 E3 ubiquitin-protein ligase Praja2 [EC:6.3.2.19] (A)
K10635	RNF111, ARK; ring finger protein 111 (EC:6.3.2.-); K10635 E3 ubiquitin-protein ligase Arkadia [EC:6.3.2.19] (A)
K10636	AMFR, GP78, RNF45; autocrine motility factor receptor, E3 ubiquitin protein ligase (EC:6.3.2.19); K10636 autocrine motility factor receptor [EC:6.3.2.19] (A)
K10637	MYLIP, IDOL, MIR; myosin regulatory light chain interacting protein (EC:6.3.2.-); K10637 E3 ubiquitin-protein ligase MYLIP [EC:6.3.2.19] (A)
K10638	UHRF1, ICBP90, Np95, RNF106, hNP95; ubiquitin-like with PHD and ring finger domains 1 (EC:6.3.2.19); K10638 E3 ubiquitin-protein ligase UHRF1 [EC:6.3.2.19] (A)
K10639	CCNB1IP1, C14orf18, HEI10; cyclin B1 interacting protein 1, E3 ubiquitin protein ligase; K10639 E3 ubiquitin-protein ligase CCNP1IP1 [EC:6.3.2.19] (A)
K10640	RNF25, AO7; ring finger protein 25; K10640 E3 ubiquitin-protein ligase RNF25 [EC:6.3.2.19] (A)
K10641	LRSAM1, CMT2P, RIFLE, TAL; leucine rich repeat and sterile alpha motif containing 1; K10641 E3 ubiquitin-protein ligase LRSAM1 [EC:6.3.2.19] (A)
K10642	DZIP3, PPP1R66, UURF2, hRUL138; DAZ interacting protein 3, zinc finger; K10642 E3 ubiquitin-protein ligase DZIP3 [EC:6.3.2.19] (A)
K10643	CNOT4, CLONE243, NOT4, NOT4H; CCR4-NOT transcription complex, subunit 4; K10643 CCR4-NOT transcription complex subunit 4 [EC:6.3.2.19] (A)
K10644	CHFR, RNF116, RNF196; checkpoint with forkhead and ring finger domains, E3 ubiquitin protein ligase; K10644 E3 ubiquitin-protein ligase CHFR [EC:6.3.2.19] (A)
K10645	MIB2, ZZANK1, ZZZ5; mindbomb E3 ubiquitin protein ligase 2; K10645 E3 ubiquitin-protein ligase mind-bomb [EC:6.3.2.19] (A)
K10646	TRAF7, RFWD1, RNF119; TNF receptor-associated factor 7, E3 ubiquitin protein ligase; K10646 E3 ubiquitin-protein ligase TRAF7 [EC:6.3.2.19] (A)
K10647	MID2, FXY2, RNF60, TRIM1; midline 2; K10647 midline 2 (A)
K10648	TRIM5, RNF88, TRIM5alpha; tripartite motif containing 5; K10648 tripartite motif-containing protein 5 [EC:6.3.2.19] (A)
K10649	TRIM9, RNF91, SPRING; tripartite motif containing 9; K10649 tripartite motif-containing protein 9/67 (A)
K10650	TRIM11, BIA1, RNF92; tripartite motif containing 11; K10650 tripartite motif-containing protein 11 [EC:6.3.2.19] (A)
K10651	TRIM21, RNF81, RO52, SSA, SSA1; tripartite motif containing 21; K10651 tripartite motif-containing protein 21 (A)
K10652	TRIM25, EFP, RNF147, Z147, ZNF147; tripartite motif containing 25 (EC:6.3.2.19 6.3.2.n3); K10652 tripartite motif-containing protein 25 (A)
K10653	TRIM54, MURF, MURF-3, RNF30, muRF3; tripartite motif containing 54; K10653 tripartite motif-containing protein 54 (A)
K10654	TRIM55, MURF-2, RNF29, muRF2; tripartite motif containing 55; K10654 tripartite motif-containing protein 55 (A)
K10655	TRIM63, IRF, MURF1, MURF2, RNF28, SMRZ; tripartite motif containing 63, E3 ubiquitin protein ligase; K10655 tripartite motif-containing protein 63 [EC:6.3.2.19] (A)
K10656	MARCH8, MARCH-VIII, MIR, RNF178, c-MIR; membrane-associated ring finger (C3HC4) 8, E3 ubiquitin protein ligase; K10656 E3 ubiquitin-protein ligase MARCH1/8 [EC:6.3.2.19] (A)
K10657	MARCH2, MARCH-II, RNF172; membrane-associated ring finger (C3HC4) 2, E3 ubiquitin protein ligase (EC:6.3.2.-); K10657 E3 ubiquitin-protein ligase MARCH2 [EC:6.3.2.19] (A)
K10658	MARCH3, MARCH-III, RNF173; membrane-associated ring finger (C3HC4) 3, E3 ubiquitin protein ligase; K10658 E3 ubiquitin-protein ligase MARCH3 [EC:6.3.2.19] (A)
K10659	MARCH11, MARCH-XI; membrane-associated ring finger (C3HC4) 11 (EC:6.3.2.-); K10659 E3 ubiquitin-protein ligase MARCH4/9/11 [EC:6.3.2.19] (A)
K10660	MARCH5, MARCH-V, MITOL, RNF153; membrane-associated ring finger (C3HC4) 5; K10660 E3 ubiquitin-protein ligase MARCH5 [EC:6.3.2.19] (A)
K10661	MARCH6, DOA10, MARCH-VI, RNF176, TEB4; membrane-associated ring finger (C3HC4) 6, E3 ubiquitin protein ligase (EC:6.3.2.-); K10661 E3 ubiquitin-protein ligase MARCH6 [EC:6.3.2.19] (A)
K10662	MARCH7, AXO, AXOT, MARCH-VII, RNF177; membrane-associated ring finger (C3HC4) 7, E3 ubiquitin protein ligase; K10662 E3 ubiquitin-protein ligase MARCH7 [EC:6.3.2.19] (A)
K10665	MARCH10, MARCH-X, RNF190; membrane-associated ring finger (C3HC4) 10, E3 ubiquitin protein ligase; K10665 E3 ubiquitin-protein ligase MARCH10 [EC:6.3.2.19] (A)
K10666	RNF5, RING5, RMA1; ring finger protein 5, E3 ubiquitin protein ligase; K10666 E3 ubiquitin-protein ligase RNF5 [EC:6.3.2.19] (A)
K10667	RNF8; ring finger protein 8, E3 ubiquitin protein ligase (EC:6.3.2.-); K10667 E3 ubiquitin-protein ligase RNF8 [EC:6.3.2.19] (A)
K10668	RNF138, HSD-4, NARF, STRIN, hNARF; ring finger protein 138, E3 ubiquitin protein ligase; K10668 E3 ubiquitin-protein ligase RNF138 [EC:6.3.2.19] (A)
K10669	TRPT1; tRNA phosphotransferase 1 (EC:2.7.1.160); K10669 2'-phosphotransferase [EC:2.7.1.160] (A)
K10670	glycine reductase complex component B subunit gamma (EC:1.21.4.2); K10670 glycine reductase [EC:1.21.4.2] (A)
K10671	Fatty acid/phospholipid biosynthesis enzyme; K10670 glycine reductase [EC:1.21.4.2] K10671 sarcosine reductase [EC:1.21.4.3] K10672 betaine reductase [EC:1.21.4.4] (A)
K10672	Fatty acid/phospholipid biosynthesis enzyme; K10670 glycine reductase [EC:1.21.4.2] K10671 sarcosine reductase [EC:1.21.4.3] K10672 betaine reductase [EC:1.21.4.4] (A)
K10673	streptomycin phosphotransferase; K10673 streptomycin 3"-kinase [EC:2.7.1.87] (A)
K10674	phytanoyl-CoA dioxygenase; K10674 ectoine hydroxylase [EC:1.14.11.-] (A)
K10675	cyanide hydratase; K10675 cyanide hydratase [EC:4.2.1.66] (A)
K10676	dichlorophenol hydroxylase; K10676 2,4-dichlorophenol 6-monooxygenase [EC:1.14.13.20] (A)
K10677	Inulin fructotransferase (EC:4.2.2.17); K10677 inulin fructotransferase (DFA-I-forming) [EC:4.2.2.17] (A)
K10678	nfsA; nitroreductase A, NADPH-dependent, FMN-dependent (EC:1.-.-.-); K10678 nitroreductase [EC:1.-.-.-] (A)
K10679	nfsB; dihydropteridine reductase, NAD(P)H-dependent, oxygen-insensitive (EC:1.5.1.34); K10679 nitroreductase / dihydropteridine reductase [EC:1.-.-.- 1.5.1.34] (A)
K10680	nemA; N-ethylmaleimide reductase, FMN-linked (EC:1.-.-.-); K10680 N-ethylmaleimide reductase [EC:1.-.-.-] (A)
K10681	two-component sensor histidine kinase; K10681 two-component system, OmpR family, sensor histidine kinase SaeS [EC:2.7.13.3] (A)
K10682	saeR; response regulator; K10682 two-component system, OmpR family, response regulator SaeR (A)
K10683	BARD1; BRCA1 associated RING domain 1; K10683 BRCA1-associated RING domain protein 1 [EC:6.3.2.19] (A)
K10684	SAE1, AOS1, HSPC140, SUA1, UBLE1A; SUMO1 activating enzyme subunit 1; K10684 ubiquitin-like 1-activating enzyme E1 A [EC:6.3.2.19] (A)
K10685	UBA2, ARX, SAE2; ubiquitin-like modifier activating enzyme 2; K10685 ubiquitin-like 1-activating enzyme E1 B [EC:6.3.2.19] (A)
K10686	UBA3, UBE1C, hUBA3; ubiquitin-like modifier activating enzyme 3; K10686 ubiquitin-activating enzyme E1 C [EC:6.3.2.19] (A)
K10687	UBE2F, NCE2; ubiquitin-conjugating enzyme E2F (putative); K10687 ubiquitin-conjugating enzyme E2 F [EC:6.3.2.19] (A)
K10688	UBE2W, UBC-16, UBC16, hUBC-16; ubiquitin-conjugating enzyme E2W (putative) (EC:6.3.2.19); K10688 ubiquitin-conjugating enzyme E2 W [EC:6.3.2.19] (A)
K10689	PEX4; putative ubiquitin-conjugating enzyme E2 21; K10689 peroxin-4 [EC:6.3.2.19] (A)
K10690	uev-3; Protein UEV-3; K10690 ubiquitin-conjugating enzyme E2, other [EC:6.3.2.19] (A)
K10691	UBR4, RBAF600, ZUBR1, p600; ubiquitin protein ligase E3 component n-recognin 4; K10691 E3 ubiquitin-protein ligase UBR4 [EC:6.3.2.19] (A)
K10692	LNX2, PDZRN1; ligand of numb-protein X 2; K10692 ligand of Numb protein X 1/2 (A)
K10693	MYCBP2, PAM; MYC binding protein 2, E3 ubiquitin protein ligase; K10693 E3 ubiquitin-protein ligase MYCBP2 [EC:6.3.2.19] (A)
K10694	ZNRF2, RNF202; zinc and ring finger 2; K10694 E3 ubiquitin-protein ligase ZNRF1/2 [EC:6.3.2.19] (A)
K10695	RING1, RING1A, RNF1; ring finger protein 1; K10695 E3 ubiquitin-protein ligase RNF1/2 [EC:6.3.2.19] (A)
K10696	RNF20, BRE1, BRE1A, hBRE1; ring finger protein 20, E3 ubiquitin protein ligase; K10696 E3 ubiquitin-protein ligase BRE1 [EC:6.3.2.19] (A)
K10697	OmpR subfamily protein; K10697 two-component system, OmpR family, response regulator RpaA (A)
K10698	UBA7, D8, UBA1B, UBE1L, UBE2; ubiquitin-like modifier activating enzyme 7; K10698 ubiquitin-activating enzyme E1-like [EC:6.3.2.19] (A)
K10699	UBA6, E1-L2, MOP-4, UBE1L2; ubiquitin-like modifier activating enzyme 6; K10699 ubiquitin-activating enzyme E1-like protein 2 [EC:6.3.2.19] (A)
K10700	ebdC; gamma-subunit of ethylbenzene dehydrogenase; K10700 ethylbenzene hydroxylase [EC:1.17.99.2] (A)
K10701	apc4; subunit of acetophenone carboxylase; K10701 acetophenone carboxylase [EC:6.4.1.8] (A)
K10702	alpha/beta hydrolase fold family protein; K10702 2-hydroxy-6-oxohepta-2,4-dienoate hydroxylase [EC:3.7.1.-] (A)
K10703	PTPLB, HACD2; protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b; K10703 3-hydroxy acyl-CoA dehydratase [EC:4.2.1.-] (A)
K10704	TMEM189, KUA; transmembrane protein 189; K10704 ubiquitin-conjugating enzyme E2 variant (A)
K10705	GAPDHS, GAPD2, GAPDH-2, GAPDS, HSD-35; glyceraldehyde-3-phosphate dehydrogenase, spermatogenic (EC:1.2.1.12); K10705 glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [EC:1.2.1.12] (A)
K10706	SETX, ALS4, AOA2, SCAR1, bA479K20.2; senataxin (EC:3.6.1.-); K10706 senataxin [EC:3.6.4.-] (A)
K10707	VAPB, ALS8, VAMP-B, VAP-B; VAMP (vesicle-associated membrane protein)-associated protein B and C; K10707 vesicle-associated membrane protein-associated protein B (A)
K10708	frlB; fructoselysine-6-P-deglycase; K10708 fructoselysine 6-phosphate deglycase [EC:3.5.-.-] (A)
K10709	frlC; fructoselysine 3-epimerase; K10709 protein FrlC (A)
K10710	frlD; fructoselysine 6-kinase (EC:2.7.1.-); K10710 fructoselysine 6-kinase [EC:2.7.1.-] (A)
K10711	frlR; predicted DNA-binding transcriptional regulator; K10711 GntR family transcriptional regulator, frlABCD operon transcriptional regulator (A)
K10712	ADO, C10orf22; 2-aminoethanethiol (cysteamine) dioxygenase (EC:1.13.11.19); K10712 cysteamine dioxygenase [EC:1.13.11.19] (A)
K10713	formaldehyde-activating enzyme; K10713 formaldehyde-activating enzyme [EC:4.3.-.-] (A)
K10714	methylene tetrahydromethanopterin dehydrogenase/methylenetetrahydrofolate dehydrogenase; K10714 methylene-tetrahydromethanopterin dehydrogenase [EC:1.5.1.-] (A)
K10715	regulator of pathogenicity factors; K10715 two-component system, sensor histidine kinase RpfC [EC:2.7.13.3] (A)
K10716	kch; voltage-gated potassium channel; K10716 voltage-gated potassium channel (A)
K10717	CYP735A2; cytokinin trans-hydroxylase; K10717 cytokinin trans-hydroxylase (A)
K10718	jhamt; juvenile hormone acid methyltransferase; K10718 juvenile hormone acid methyltransferase [EC:2.1.1.-] (A)
K10719	Jheh1; Juvenile hormone epoxide hydrolase 1 (EC:3.3.2.- 3.3.2.10 3.3.2.9); K10719 juvenile hormone epoxide hydrolase (A)
K10720	phm; phantom (EC:1.14.-.-); K10720 CYP306A1; ecdysteroid 25-hydroxylase (A)
K10721	dib; disembodied (EC:1.14.-.-); K10721 CYP302A1; ecdysteroid 22-hydroxylase (A)
K10722	sad; shadow (EC:1.14.-.-); K10722 ecdysteroid 2-hydroxylase (A)
K10723	shd; shade (EC:1.14.99.22); K10723 ecdysone 20-monooxygenase [EC:1.14.99.22] (A)
K10724	Eo; Ecdysone oxidase (EC:1.1.3.16 1.1.99.1); K10724 ecdysone oxidase [EC:1.1.3.16] (A)
K10725	cdc6; cell division control protein 6; K10725 archaeal cell division control protein 6 (A)
K10726	cell division control protein 47; K10726 replicative DNA helicase Mcm [EC:3.6.4.-] (A)
K10727	CDT1, DUP, RIS2; chromatin licensing and DNA replication factor 1; K10727 chromatin licensing and DNA replication factor 1 (A)
K10728	TOPBP1, TOP2BP1; topoisomerase (DNA) II binding protein 1; K10728 topoisomerase (DNA) II binding protein 1 (A)
K10729	SLD2, DRC1; Sld2p; K10729 DNA replication regulator SLD2 (A)
K10730	RECQL4, RECQ4; RecQ protein-like 4 (EC:3.6.4.12); K10730 ATP-dependent DNA helicase Q4 [EC:3.6.4.12] (A)
K10731	SLD3; Sld3p; K10731 DNA replication regulator SLD3 (A)
K10732	GINS1, PSF1; GINS complex subunit 1 (Psf1 homolog); K10732 GINS complex subunit 1 (A)
K10733	GINS2, HSPC037, PSF2, Pfs2; GINS complex subunit 2 (Psf2 homolog); K10733 GINS complex subunit 2 (A)
K10734	GINS3, PSF3; GINS complex subunit 3 (Psf3 homolog); K10734 GINS complex subunit 3 (A)
K10735	GINS4, SLD5; GINS complex subunit 4 (Sld5 homolog); K10735 GINS complex subunit 4 (A)
K10736	MCM10, CNA43, DNA43; minichromosome maintenance complex component 10; K10736 minichromosome maintenance protein 10 (A)
K10737	MCM8, C20orf154, REC, dJ967N21.5; minichromosome maintenance complex component 8; K10737 minichromosome maintenance protein 8 (A)
K10738	MCM9, C6orf61, MCMDC1, dJ329L24.1, dJ329L24.3; minichromosome maintenance complex component 9; K10738 minichromosome maintenance protein 9 (A)
K10739	RPA2, REPA2, RPA32; replication protein A2, 32kDa; K10739 replication factor A2 (A)
K10740	RPA3, REPA3; replication protein A3, 14kDa; K10740 replication factor A3 (A)
K10741	RPA4, HSU24186; replication protein A4, 30kDa; K10741 replication factor A4 (A)
K10742	DNA2, DNA2L; DNA replication helicase 2 homolog (yeast) (EC:3.6.4.12); K10742 DNA replication ATP-dependent helicase Dna2 [EC:3.6.4.12] (A)
K10743	RNASEH2A, AGS4, JUNB, RNASEHI, RNHIA, RNHL; ribonuclease H2, subunit A (EC:3.1.26.4); K10743 ribonuclease H2 subunit A [EC:3.1.26.4] (A)
K10744	RNASEH2B, AGS2, DLEU8; ribonuclease H2, subunit B; K10744 ribonuclease H2 subunit B (A)
K10745	RNASEH2C, AGS3, AYP1; ribonuclease H2, subunit C; K10745 ribonuclease H2 subunit C (A)
K10746	EXO1, HEX1, hExoI; exonuclease 1; K10746 exonuclease 1 [EC:3.1.-.-] (A)
K10747	LIG1; ligase I, DNA, ATP-dependent (EC:6.5.1.1); K10747 DNA ligase 1 [EC:6.5.1.1] (A)
K10748	tus; inhibitor of replication at Ter, DNA-binding protein; K10748 DNA replication terminus site-binding protein (A)
K10749	GMNN, Gem; geminin, DNA replication inhibitor; K10749 geminin (A)
K10750	CHAF1A, CAF-1, CAF1, CAF1B, CAF1P150, P150; chromatin assembly factor 1, subunit A (p150); K10750 chromatin assembly factor 1 subunit A (A)
K10751	CHAF1B, CAF-1, CAF-IP60, CAF1, CAF1A, CAF1P60, MPHOSPH7, MPP7; chromatin assembly factor 1, subunit B (p60); K10751 chromatin assembly factor 1 subunit B (A)
K10752	RBBP4, NURF55, RBAP48; retinoblastoma binding protein 4; K10752 histone-binding protein RBBP4 (A)
K10753	ASF1A, CGI-98, CIA, HSPC146; ASF1 anti-silencing function 1 homolog A (S. cerevisiae); K10753 histone chaperone ASF1 (A)
K10754	RFC1, A1, MHCBFB, PO-GA, RECC1, RFC, RFC140; replication factor C (activator 1) 1, 145kDa; K10754 replication factor C subunit 1 (A)
K10755	RFC2, A1, RFC40; replication factor C (activator 1) 2, 40kDa; K10755 replication factor C subunit 2/4 (A)
K10756	RFC3, RFC38; replication factor C (activator 1) 3, 38kDa; K10756 replication factor C subunit 3/5 (A)
K10757	UGT78D2; Flavonoid 3-O-glucosyltransferase; K10757 flavonol 3-O-glucosyltransferase [EC:2.4.1.91] (A)
K10758	QSOX2, QSCN6L1, SOXN; quiescin Q6 sulfhydryl oxidase 2 (EC:1.8.3.2); K10758 thiol oxidase [EC:1.8.3.2] (A)
K10759	DEHA2A14806p; K10759 tannase [EC:3.1.1.20] (A)
K10760	IPT6; adenylate isopentenyltransferase 6; K10760 adenylate isopentenyltransferase (cytokinin synthase) (A)
K10761	THG1L, ICF45; tRNA-histidine guanylyltransferase 1-like (S. cerevisiae) (EC:2.7.7.79); K10761 tRNA(His) guanylyltransferase [EC:2.7.7.79] (A)
K10762	ydaV; Rac prophage; predicted DNA replication protein; K10762 putative replication protein (A)
K10763	hda; ATPase regulatory factor involved in DnaA inactivation; K10763 DnaA-homolog protein (A)
K10764	metZ; O-succinylhomoserine sulfhydrylase; K10764 O-succinylhomoserine sulfhydrylase [EC:2.5.1.-] (A)
K10765	ALKBH1, ABH, ABH1, ALKBH, alkB, hABH; alkB, alkylation repair homolog 1 (E. coli) (EC:4.2.99.18); K10765 alkylated DNA repair protein alkB homolog 1 [EC:1.14.11.- 4.2.99.18] (A)
K10766	ALKBH4, ABH4; alkB, alkylation repair homolog 4 (E. coli); K10766 alkylated DNA repair protein alkB homolog 4 [EC:1.14.11.-] (A)
K10767	ALKBH5, ABH5, OFOXD, OFOXD1; alkB, alkylation repair homolog 5 (E. coli); K10767 alkylated DNA repair protein alkB homolog 5 [EC:1.14.11.-] (A)
K10768	ALKBH6, ABH6; alkB, alkylation repair homolog 6 (E. coli) (EC:3.4.22.17); K10768 alkylated DNA repair protein alkB homolog 6 [EC:1.14.11.-] (A)
K10769	ALKBH7, ABH7, SPATA11, UNQ6002; alkB, alkylation repair homolog 7 (E. coli); K10769 alkylated DNA repair protein alkB homolog 7 [EC:1.14.11.-] (A)
K10770	ALKBH8, ABH8; alkB, alkylation repair homolog 8 (E. coli) (EC:2.1.1.229); K10770 alkylated DNA repair protein alkB homolog 8 [EC:1.14.11.- 2.1.1.229] (A)
K10771	APEX1, APE, APE1, APEN, APEX, APX, HAP1, REF1; APEX nuclease (multifunctional DNA repair enzyme) 1 (EC:4.2.99.18); K10771 AP endonuclease 1 [EC:4.2.99.18] (A)
K10772	APEX2, APE2, APEXL2, XTH2; APEX nuclease (apurinic/apyrimidinic endonuclease) 2 (EC:4.2.99.18); K10772 AP endonuclease 2 [EC:4.2.99.18] (A)
K10773	NTHL1, NTH1, OCTS3; nth endonuclease III-like 1 (E. coli) (EC:4.2.99.18); K10773 endonuclease III [EC:4.2.99.18] (A)
K10774	histidine ammonia-lyase (EC:4.3.1.3); K10774 tyrosine ammonia-lyase [EC:4.3.1.23] (A)
K10775	PAL1; phenylalanine ammonia-lyase 1; K10775 phenylalanine ammonia-lyase [EC:4.3.1.24] (A)
K10776	LIG3, LIG2; ligase III, DNA, ATP-dependent (EC:6.5.1.1); K10776 DNA ligase 3 [EC:6.5.1.1] (A)
K10777	LIG4; ligase IV, DNA, ATP-dependent (EC:6.5.1.1); K10777 DNA ligase 4 [EC:6.5.1.1] (A)
K10778	ada; fused DNA-binding transcriptional dual regulator/O6-methylguanine-DNA methyltransferase (EC:2.1.1.63); K10778 AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase [EC:2.1.1.63] (A)
K10779	ATRX, ATR2, JMS, MRXHF1, RAD54, RAD54L, SFM1, SHS, XH2, XNP, ZNF-HX; alpha thalassemia/mental retardation syndrome X-linked (EC:3.6.4.12); K10779 transcriptional regulator ATRX [EC:3.6.4.12] (A)
K10780	glucose-1-dehydrogenase; K10780 enoyl-[acyl carrier protein] reductase III [EC:1.3.1.-] (A)
K10781	FATB; fatty acyl-ACP thioesterases B; K10781 fatty acyl-ACP thioesterase B [EC:3.1.2.14 3.1.2.-] (A)
K10782	FaTA; fatA acyl-ACP thioesterase; K10782 fatty acyl-ACP thioesterase A [EC:3.1.2.14 3.1.2.-] (A)
K10783	trans-2-enoyl-CoA reductase (EC:1.3.1.44); K10783 trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.44] (A)
K10784	uncharacterized LOC743162; K10784 T cell receptor alpha chain V region (A)
K10785	t-cell receptor beta chain T17T-22-like; K10785 T-cell receptor beta chain V region (A)
K10786	PRG2, BMPG, MBP, MBP1; proteoglycan 2, bone marrow (natural killer cell activator, eosinophil granule major basic protein); K10786 bone marrow proteoglycan (A)
K10787	RNASE3, ECP, RNS3; ribonuclease, RNase A family, 3 (EC:3.1.27.-); K10787 eosinophil cationic protein [EC:3.1.27.-] (A)
K10788	EPX, EPO, EPP, EPX-PEN; eosinophil peroxidase (EC:1.11.1.7); K10788 eosinophil peroxidase [EC:1.11.1.7] (A)
K10789	MPO; myeloperoxidase (EC:1.11.2.2); K10789 myeloperoxidase [EC:1.11.2.2] (A)
K10790	TREX1, AGS1, CRV, DRN3, HERNS; three prime repair exonuclease 1 (EC:3.1.11.2); K10790 three prime repair exonuclease 1 [EC:3.1.11.2] (A)
K10791	TREX2; three prime repair exonuclease 2 (EC:3.1.11.2); K10791 three prime repair exonuclease 2 [EC:3.1.11.2] (A)
K10793	D-proline reductase, 45 kDa subunit/D-proline reductase, 23 kDa subunit (EC:1.21.4.1); K10793 D-proline reductase (dithiol) PrdA [EC:1.21.4.1] (A)
K10794	D-proline reductase, 26 kDa subunit (EC:1.21.4.1); K10794 D-proline reductase (dithiol) PrdB [EC:1.21.4.1] (A)
K10795	prdD; PrdD protein; K10795 D-proline reductase (dithiol) PrdD [EC:1.21.4.1] (A)
K10796	prdE; PrdE protein; K10796 D-proline reductase (dithiol) PrdE [EC:1.21.4.1] (A)
K10797	NADH:flavin oxidoreductase; K10797 2-enoate reductase [EC:1.3.1.31] (A)
K10798	PARP2, ADPRT2, ADPRTL2, ADPRTL3, PARP-2, pADPRT-2; poly (ADP-ribose) polymerase 2 (EC:2.4.2.30); K10798 poly [ADP-ribose] polymerase [EC:2.4.2.30] (A)
K10799	TNKS2, ARTD6, PARP-5b, PARP-5c, PARP5B, PARP5C, TANK2, TNKL, pART6; tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2 (EC:2.4.2.30); K10799 tankyrase [EC:2.4.2.30] (A)
K10800	SMUG1, FDG, HMUDG, UNG3; single-strand-selective monofunctional uracil-DNA glycosylase 1; K10800 single-strand selective monofunctional uracil DNA glycosylase [EC:3.2.2.-] (A)
K10801	MBD4, MED1; methyl-CpG binding domain protein 4; K10801 methyl-CpG-binding domain protein 4 [EC:3.2.2.-] (A)
K10802	HMGB1, HMG1, HMG3, SBP-1; high mobility group box 1; K10802 high mobility group protein B1 (A)
K10803	XRCC1, RCC; X-ray repair complementing defective repair in Chinese hamster cells 1; K10803 DNA-repair protein XRCC1 (A)
K10804	tesA; multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1 (EC:3.1.2.- 3.1.1.5); K10804 acyl-CoA thioesterase I [EC:3.1.2.- 3.1.1.5] (A)
K10805	tesB; acyl-CoA thioesterase II (EC:3.1.2.-); K10805 acyl-CoA thioesterase II [EC:3.1.2.-] (A)
K10806	yciA; Acyl-CoA esterase, role unknown; K10806 acyl-CoA thioesterase YciA [EC:3.1.2.-] (A)
K10807	RRM1, R1, RIR1, RR1; ribonucleotide reductase M1 (EC:1.17.4.1); K10807 ribonucleoside-diphosphate reductase subunit M1 [EC:1.17.4.1] (A)
K10808	RRM2B, MTDPS8A, MTDPS8B, P53R2; ribonucleotide reductase M2 B (TP53 inducible) (EC:1.17.4.1); K10808 ribonucleoside-diphosphate reductase subunit M2 [EC:1.17.4.1] (A)
K10809	TG, AITD3, TGN; thyroglobulin; K10809 thyroglobulin (A)
K10810	tenI; transcriptional regulator TenI; K10810 transcriptional regulator TenI (A)
K10811	periplasmic thiamine binding protein; K10811 thiamine pyridinylase [EC:2.5.1.2] (A)
K10812	GlcAT-S; CG3881 gene product from transcript CG3881-RA (EC:2.4.1.135 2.4.1.17); K10812 beta-1,3-glucuronyltransferase [EC:2.4.1.135 2.4.1.-] (A)
K10814	hcnA; hydrogen cyanide synthase HcnA; K10814 hydrogen cyanide synthase HcnA [EC:1.4.99.5] (A)
K10815	hcnB; hydrogen cyanide synthase HcnB; K10815 hydrogen cyanide synthase HcnB [EC:1.4.99.5] (A)
K10816	hcnC; hydrogen cyanide synthase HcnC; K10816 hydrogen cyanide synthase HcnC [EC:1.4.99.5] (A)
K10817	enoyl-ACP reductase (EC:1.3.1.10 2.3.1.94); K10817 erythronolide synthase [EC:2.3.1.94] (A)
K10819	sensor histidine kinase; K10819 histidine kinase (A)
K10820	monosaccharide-transporting ATPase (EC:3.6.3.17); K10820 monosaccharide-transporting ATPase [EC:3.6.3.17] (A)
K10821	ABC transporter nucleotide binding/ATPase (EC:3.6.3.21); K10821 polar-amino-acid-transporting ATPase [EC:3.6.3.21] (A)
K10822	h16_A1244; ABC transporter ATPase (EC:3.6.3.22); K10822 nonpolar-amino-acid-transporting ATPase [EC:3.6.3.22] (A)
K10823	oppF; oligopeptide transporter subunit; K10823 oligopeptide transport system ATP-binding protein (A)
K10824	nikE; nickel transporter subunit; K10824 nickel transport system ATP-binding protein [EC:3.6.3.24] (A)
K10826	ABC transporter family protein (EC:3.6.3.30 3.6.3.31); K10826 Fe3+-transporting ATPase [EC:3.6.3.30] K10827 polyamine-transporting ATPase [EC:3.6.3.31] (A)
K10827	ABC transporter family protein (EC:3.6.3.27 3.6.3.31); K06021 phosphate-transporting ATPase [EC:3.6.3.27] K10827 polyamine-transporting ATPase [EC:3.6.3.31] (A)
K10828	quaternary-amine ABC transporter ATPase; K10828 quaternary-amine-transporting ATPase [EC:3.6.3.32] (A)
K10829	ABC transporter, ATP-binding protein (EC:3.6.3.34); K10829 iron-chelate-transporting ATPase [EC:3.6.3.34] (A)
K10831	tauB; taurine transporter subunit; K10831 taurine transport system ATP-binding protein [EC:3.6.3.36] (A)
K10832	Capsule polysaccharide export ATP-binding protein CtrD OS=Neisseria meningitidis serogroup B (strain MC58) GN=ctrD PE=3 SV=2
